Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2025-09;HENDAYE;TOULOUSE-MATABIAU;115;115;0;10;91.30434782608695;10.5
2025-09;LYON;NANCY;28;28;0;1;96.42857142857144;27.0
2025-09;PARIS-AUSTERLITZ;TARBES;18;18;0;1;94.44444444444444;17.0
2025-08;BÉZIERS;CLERMONT-FERRAND;31;31;0;2;93.5483870967742;14.5
2025-08;MARSEILLE-ST-CHARLES;BORDEAUX-ST-JEAN;174;174;0;77;55.74712643678161;1.2597402597402598
2025-08;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;31;31;0;5;83.87096774193549;5.2
2025-08;PARIS-AUSTERLITZ;BRIANÇON;31;31;0;11;64.51612903225806;1.818181818181818
2025-08;NANTES;BORDEAUX-ST-JEAN;124;123;1;21;82.92682926829268;4.857142857142857
2025-08;TOULOUSE-MATABIAU;HENDAYE;124;124;0;15;87.90322580645162;7.266666666666667
2025-08;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;59;59;0;8;86.4406779661017;6.375
2025-08;PARIS-AUSTERLITZ;RODEZ/ALBI;31;31;0;3;90.32258064516128;9.333333333333334
2025-08;PARIS-AUSTERLITZ;TARBES;25;25;0;5;80.0;4.0
2025-08;BRIANÇON;PARIS-AUSTERLITZ;31;31;0;8;74.19354838709677;2.875
2025-08;LYON;NANTES;93;92;1;11;88.04347826086956;7.363636363636363
2025-08;NANTES;LYON;93;93;0;12;87.09677419354838;6.75
2025-08;BORDEAUX-ST-JEAN;NANTES;124;124;0;16;87.09677419354838;6.75
2025-08;BORDEAUX-ST-JEAN;MARSEILLE-ST-CHARLES;195;195;0;89;54.35897435897436;1.1910112359550562
2025-08;PARIS-AUSTERLITZ;BRIVE/CAHORS;162;162;0;26;83.9506172839506;5.230769230769231
2025-08;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;31;31;0;2;93.5483870967742;14.5
2025-08;ALBI/RODEZ;PARIS-AUSTERLITZ;31;30;1;3;90.0;9.0
2025-08;AURILLAC;PARIS-AUSTERLITZ;31;30;1;3;90.0;9.0
2025-08;PARIS-AUSTERLITZ;CERBERE;31;31;0;6;80.64516129032258;4.166666666666667
2025-08;CERBERE;PARIS-AUSTERLITZ;31;31;0;8;74.19354838709677;2.875
2025-08;PARIS-AUSTERLITZ;NICE-VILLE;31;31;0;4;87.09677419354838;6.75
2025-08;NICE-VILLE;PARIS-AUSTERLITZ;31;31;0;2;93.5483870967742;14.5
2025-08;CAHORS/BRIVE;PARIS-AUSTERLITZ;191;190;1;21;88.94736842105263;8.047619047619047
2025-08;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;31;31;0;3;90.32258064516128;9.333333333333334
2025-08;PARIS-AUSTERLITZ;AURILLAC;31;31;0;4;87.09677419354838;6.75
2025-08;CLERMONT-FERRAND;PARIS-BERCY;193;193;0;23;88.08290155440415;7.391304347826087
2025-08;PARIS-BERCY;CLERMONT-FERRAND;192;192;0;18;90.625;9.666666666666666
2025-08;CLERMONT-FERRAND;BÉZIERS;31;31;0;5;83.87096774193549;5.2
2025-08;HENDAYE;TOULOUSE-MATABIAU;124;123;1;14;88.6178861788618;7.785714285714286
2025-08;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;42;41;1;5;87.8048780487805;7.2
2025-08;NANCY;LYON;31;31;0;2;93.5483870967742;14.5
2025-08;LYON;NANCY;31;31;0;3;90.32258064516128;9.333333333333334
2025-08;TARBES;PARIS-AUSTERLITZ;25;25;0;2;92.0;11.5
2025-08;LATOUR-DE-CAROL;PARIS-AUSTERLITZ;31;31;0;3;90.32258064516128;9.333333333333334
2025-07;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.7741935483871;30.0
2025-07;LYON;NANTES;93;92;1;17;81.52173913043478;4.411764705882353
2025-07;TOULOUSE-MATABIAU;HENDAYE;124;124;0;13;89.51612903225806;8.538461538461538
2025-07;PARIS-AUSTERLITZ;BRIVE/CAHORS;195;195;0;19;90.25641025641026;9.263157894736842
2025-07;LYON;NANCY;29;29;0;5;82.75862068965517;4.8
2025-07;PARIS-AUSTERLITZ;RODEZ/ALBI;31;31;0;0;100.0;0.0
2025-07;LATOUR-DE-CAROL;PARIS-AUSTERLITZ;31;30;1;3;90.0;9.0
2025-07;BÉZIERS;CLERMONT-FERRAND;31;31;0;0;100.0;0.0
2025-07;PARIS-AUSTERLITZ;AURILLAC;28;28;0;5;82.14285714285714;4.6
2025-07;PARIS-AUSTERLITZ;TARBES;23;23;0;3;86.95652173913044;6.666666666666667
2025-07;CERBERE;PARIS-AUSTERLITZ;28;28;0;10;64.28571428571429;1.8
2025-07;MARSEILLE-ST-CHARLES;BORDEAUX-ST-JEAN;204;194;10;74;61.855670103092784;1.6216216216216215
2025-07;CAHORS/BRIVE;PARIS-AUSTERLITZ;205;205;0;17;91.70731707317074;11.058823529411764
2025-07;AURILLAC;PARIS-AUSTERLITZ;28;28;0;2;92.85714285714286;13.0
2025-07;NANTES;LYON;93;93;0;15;83.87096774193549;5.2
2025-07;BORDEAUX-ST-JEAN;NANTES;124;123;1;14;88.6178861788618;7.785714285714286
2025-07;BORDEAUX-ST-JEAN;MARSEILLE-ST-CHARLES;227;220;7;82;62.727272727272734;1.6829268292682926
2025-07;NANCY;LYON;29;29;0;2;93.10344827586206;13.5
2025-07;ALBI/RODEZ;PARIS-AUSTERLITZ;31;31;0;2;93.5483870967742;14.5
2025-07;TARBES;PARIS-AUSTERLITZ;23;23;0;1;95.65217391304348;22.0
2025-07;BRIANÇON;PARIS-AUSTERLITZ;31;30;1;11;63.33333333333333;1.7272727272727273
2025-07;PARIS-AUSTERLITZ;NICE-VILLE;31;28;3;6;78.57142857142857;3.6666666666666665
2025-07;NICE-VILLE;PARIS-AUSTERLITZ;30;28;2;5;82.14285714285714;4.6
2025-07;CLERMONT-FERRAND;PARIS-BERCY;213;212;1;25;88.20754716981132;7.48
2025-07;PARIS-BERCY;CLERMONT-FERRAND;212;211;1;20;90.52132701421802;9.55
2025-07;NANTES;BORDEAUX-ST-JEAN;124;123;1;25;79.67479674796748;3.92
2025-07;HENDAYE;TOULOUSE-MATABIAU;124;122;2;14;88.52459016393442;7.714285714285714
2025-07;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;84;84;0;10;88.09523809523809;7.4
2025-07;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;84;83;1;5;93.97590361445783;15.6
2025-07;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;31;30;1;0;100.0;0.0
2025-07;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;31;30;1;3;90.0;9.0
2025-07;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;31;30;1;4;86.66666666666667;6.5
2025-07;PARIS-AUSTERLITZ;CERBERE;28;28;0;9;67.85714285714286;2.111111111111111
2025-07;PARIS-AUSTERLITZ;BRIANÇON;31;31;0;14;54.83870967741935;1.2142857142857142
2025-06;CLERMONT-FERRAND;BÉZIERS;30;30;0;4;86.66666666666667;6.5
2025-06;MARSEILLE-ST-CHARLES;BORDEAUX-ST-JEAN;190;184;6;80;56.52173913043478;1.3
2025-06;ALBI/RODEZ;PARIS-AUSTERLITZ;14;14;0;2;85.71428571428571;6.0
2025-06;AURILLAC;PARIS-AUSTERLITZ;8;8;0;1;87.5;7.0
2025-06;LATOUR-DE-CAROL;PARIS-AUSTERLITZ;7;7;0;0;100.0;0.0
2025-06;CLERMONT-FERRAND;PARIS-BERCY;225;210;15;37;82.38095238095238;4.675675675675675
2025-06;BÉZIERS;CLERMONT-FERRAND;30;29;1;1;96.55172413793105;28.0
2025-06;TOULOUSE-MATABIAU;HENDAYE;120;120;0;15;87.5;7.0
2025-06;PARIS-AUSTERLITZ;BRIVE/CAHORS;193;193;0;29;84.97409326424871;5.655172413793103
